SP500,Nasdaq,WilshireRE,Gold,OilWTI,Date
1258.094206,"2,380.77",87.69157895,287.5526316,12.75052632,01/01/1999
1258.328433,"2,391.42",85.13842105,289.6947368,12.25842105,01/02/1999
1289.930871,"2,413.03",83.49826087,286.0347826,14.89043478,01/03/1999
1343.827619,"2,571.13",87.19714286,283.2619048,17.50285714,01/04/1999
1342.949493,"2,539.88",93.1415,277.13,18.032,01/05/1999
1329.471375,"2,543.71",91.62454545,263.0545455,18.13363636,01/06/1999
1390.086199,"2,763.56",88.08571429,256.4380952,20.30761905,01/07/1999
1337.572726,"2,669.01",84.51909091,258.35,21.45863636,01/08/1999
1328.200968,"2,832.93",82.2347619,266.2,24.03619048,01/09/1999
1309.33953,"2,835.65",78.15,311.6190476,23.12428571,01/10/1999
1399.502377,"3,254.93",cc,279.9380952,23.93809524,01/11/1999
1435.9691,"3,764.82",75.81409091,272.3863636,25.22636364,01/12/1999
1441.554498,"4,081.64",79.7525,270.99,26.0625,01/01/2000
1401.426501,"4,448.17",77.61,303.38,29.629,01/02/2000
1455.719562,"4,894.35",77.44652174,286.0652174,30.49043478,01/03/2000
1479.054206,"3,986.90",,281.1842105,25.93421053,01/04/2000
1433.121377,"3,601.70",86.02863636,275.0636364,29.21318182,01/05/2000
1471.881375,"3,910.83",88.06090909,287.0409091,31.94409091,01/06/2000
1484.302002,"4,067.81",91.89,266.735,28.713,01/07/2000
1491.999554,"3,943.93",93.63043478,274.9304348,31.59913043,01/08/2000
1479.574005,"3,941.26",92.8645,273.535,34.547,01/09/2000
1405.210904,,88.93409091,270.3,33.55454545,01/10/2000
1389.503331,"3,126.13",88.9852381,,32.97857143,01/11/2000
1345.468005,"2,728.16",94.063,272.05,29.228,01/12/2000
1345.713815,"2,705.37",95.52238095,265.4428571,29.68428571,01/01/2001
1318.743151,"2,504.64",94.28684211,262.3684211,30.14631579,01/02/2001
1200.069558,"2,030.40",93.72772727,262.2727273,27.73954545,01/03/2001
1201.692999,"1,970.43",92.6785,261.965,28.025,01/04/2001
,"2,207.64",96.08727273,272.6272727,29.05272727,01/05/2001
1247.65475,"2,139.01",99.82714286,258.8619048,28.03047619,01/06/2001
1213.392863,"2,061.11",100.2209524,267.6095238,,01/07/2001
1188.085656,"1,954.16",103.0182609,273.2130435,27.6526087,01/08/2001
1060.682666,"1,605.74",95.45466667,284.8733333,26.42866667,01/09/2001
