date,Price,Yield,us_inflation_rate,us_interest_rate
01/01/1999,118.6173684,4.711105263,1.7,4.75
01/02/1999,116.5805263,4.987473684,1.6,4.75
01/03/1999,114.9273913,5.218478261,1.7,4.75
01/04/1999,115.5995455,5.165190476,2.3,4.75
01/05/1999,113.247,5.52755,2.1,4.75
01/06/1999,110.7845455,5.888727273,2,5
01/07/1999,111.2019048,5.777047619,2.1,5
01/08/1999,110.1627273,5.931409091,2.3,5.25
01/09/1999,110.3585714,5.902904762,2.6,5.25
01/10/1999,108.74,6.09905,2.6,5.25
01/11/1999,109.868,6.01885,2.6,5.5
01/12/1999,104.4963636,6.259772727,2.7,5.5
01/01/2000,94.731,6.64725,2.7,5.5
01/02/2000,95.2215,6.5176,3.2,5.75
01/03/2000,96.70695652,6.246826087,3.8,6
01/04/2000,98.16684211,5.978578947,3.1,6
01/05/2000,95.80727273,6.427227273,3.2,6.5
01/06/2000,98.14227273,6.083772727,3.7,6.5
01/07/2000,98.615,6.0396,3.7,6.5
01/08/2000,99.70869565,5.820391304,3.4,6.5
01/09/2000,100.0895,5.78805,3.5,6.5
01/10/2000,100.852381,5.735,3.4,6.5
01/11/2000,101.207619,5.702333333,3.4,6.5
01/12/2000,104.055,5.22845,3.4,6.5
01/01/2001,105.0471429,5.139619048,3.7,5.5
01/02/2001,105.2173684,5.088736842,3.5,5.5
01/03/2001,106.4045455,4.876681818,2.9,5
01/04/2001,105.026,5.12225,3.3,4.5
01/05/2001,103.7354545,5.368045455,3.6,4
01/06/2001,104.5271429,5.254,3.2,3.75
01/07/2001,104.677619,5.199761905,2.7,3.75
01/08/2001,106.3278261,4.961,2.7,3.5
01/09/2001,108.1761111,4.734533333,2.6,3
01/10/2001,109.3909091,4.54073913,2.1,2.5
01/11/2001,108.894,4.606190476,1.9,2
01/12/2001,105.736,5.0477,1.6,1.75
01/01/2002,105.867619,4.991619048,1.1,1.75
01/02/2002,106.8557895,4.903263158,1.1,1.75
01/03/2002,104.1095,5.2729,1.5,1.75
01/04/2002,104.4531818,5.193863636,1.6,1.75
01/05/2002,105.6004545,5.140818182,1.2,1.75
01/06/2002,107.4915,4.89495,1.1,1.75
01/07/2002,109.0990909,4.607909091,1.5,1.75
01/08/2002,112.3386364,4.240363636,1.8,1.75
01/09/2002,114.84,3.85645,1.5,1.75
01/10/2002,114.1134783,3.914521739,2,1.75
01/11/2002,113.7745,4.03065,2.2,1.25
01/12/2002,113.9471429,4.020190476,2.4,1.25
01/01/2003,113.6604762,4.024047619,2.6,1.25
01/02/2003,115.1015789,3.889631579,3,1.25
01/03/2003,115.6933333,3.795428571,3,1.25
01/04/2003,114.317619,3.938380952,2.2,1.25
01/05/2003,117.4180952,3.558380952,2.1,1.25
01/06/2003,119.142381,3.323571429,2.1,1
01/07/2003,114.6504545,3.951863636,2.1,1
01/08/2003,111.3504762,4.43247619,2.2,1
01/09/2003,113.0266667,4.261952381,2.3,1
01/10/2003,112.3086957,4.264521739,2,1
01/11/2003,112.5489474,4.294368421,1.8,1
01/12/2003,112.8981818,4.259090909,1.9,1
01/01/2004,113.483,4.1293,2,1
01/02/2004,114.4494737,4.068578947,1.7,1
01/03/2004,116.3413043,3.814391304,1.7,1
01/04/2004,111.6752381,4.327619048,2.3,1
01/05/2004,109.3035,4.70285,3.1,1
01/06/2004,109.1781818,4.723,3.3,1.25
01/07/2004,110.4504762,4.478809524,2.9,1.25
01/08/2004,112.3786364,4.269272727,2.7,1.5
01/09/2004,113.4190476,4.114714286,2.5,1.75
01/10/2004,113.0133333,4.082809524,3.2,1.75
01/11/2004,112.3847619,4.188142857,3.5,2
01/12/2004,112.2431818,4.221818182,3.3,2.25
01/01/2005,111.8345,4.2084,3,2.25
01/02/2005,112.1510526,4.157105263,3,2.5
01/03/2005,109.7372727,4.490454545,3.1,2.75
01/04/2005,110.5014286,4.330047619,3.5,2.75
01/05/2005,111.9842857,4.137380952,2.8,3
01/06/2005,113.0127273,3.993909091,2.5,3.25
01/07/2005,111.7575,4.17235,3.2,3.25
01/08/2005,111.173913,4.255173913,3.6,3.25
01/09/2005,111.6547619,4.193142857,4.7,3.75
01/10/2005,109.107,4.4576,4.3,3.75
01/11/2005,108.5405,4.53395,3.5,4
01/12/2005,109.02,4.464952381,3.4,4.25
01/01/2006,109.3235,4.4106,4,4.5
01/02/2006,107.9763158,4.567842105,3.6,4.5
01/03/2006,107.1452174,4.722304348,3.4,4.75
01/04/2006,105.7878947,4.985368421,3.5,4.75
01/05/2006,105.2577273,5.106909091,4.2,5
01/06/2006,105.0963636,5.103272727,4.3,5.25
01/07/2006,105.258,5.08245,4.1,5.25
01/08/2006,106.6113043,4.873652174,3.8,5.25
01/09/2006,107.592,4.7158,2.1,5.25
01/10/2006,107.4347619,4.723409091,1.3,5.25
01/11/2006,108.2519048,4.593190476,2,5.25
01/12/2006,108.5345,4.56035,2.5,5.25
01/01/2007,107.1842857,4.7604,2.1,5.25
01/02/2007,107.4036842,4.721789474,2.4,5.25
01/03/2007,108.6381818,4.559090909,2.8,5.25
01/04/2007,107.8509524,4.68435,2.6,5.25
01/05/2007,107.4640909,4.744272727,2.7,5.25
01/06/2007,105.2795238,5.098714286,2.7,5.25
01/07/2007,105.9357143,4.997714286,2.4,5.25
01/08/2007,108.3482609,4.670173913,2,5.25
01/09/2007,109.8268421,4.511947368,2.8,4.75
01/10/2007,109.7118182,4.520130435,3.5,4.5
01/11/2007,112.4995,4.147666667,4.3,4.5
01/12/2007,113.3725,4.0915,4.1,4.25
01/01/2008,116.0280952,3.71747619,4.3,3
01/02/2008,116.6725,3.7325,4,3
