date,us_consumer_confidence,us_industrial_production,us_inflation_rate,us_retail_sales_yoy,us_unemployment_rate,us_interest_rate,Price,Yield
01/01/1999,103.9,3.7,1.7,6.6,4.3,4.75,118.6173684,4.711105263
01/02/1999,108.1,4.1,1.6,7.7,4.4,4.75,116.5805263,4.987473684
01/03/1999,105.7,4.2,1.7,7.6,4.2,4.75,114.9273913,5.218478261
01/04/1999,104.6,4.1,2.3,7,4.3,4.75,115.5995455,5.165190476
01/05/1999,106.8,4.2,2.1,7.5,4.2,4.75,113.247,5.52755
01/06/1999,107.3,4.7,2,6.9,4.3,5,110.7845455,5.888727273
01/07/1999,106,5.7,2.1,8.4,4.3,5,111.2019048,5.777047619
01/08/1999,104.5,4,2.3,10.1,4.2,5.25,110.1627273,5.931409091
01/09/1999,107.2,3.8,2.6,9.6,4.2,5.25,110.3585714,5.902904762
01/10/1999,103.2,4.4,2.6,8,4.1,5.25,108.74,6.09905
01/11/1999,107.2,4.9,2.6,8.4,4.1,5.5,109.868,6.01885
01/12/1999,105.4,5.3,2.7,9.4,4,5.5,104.4963636,6.259772727
01/01/2000,111.4,4.8,2.7,8.6,4,5.5,94.731,6.64725
01/02/2000,111.3,4.6,3.2,9,4.1,5.75,95.2215,6.5176
01/03/2000,107.1,4.8,3.8,9.8,4,6,96.70695652,6.246826087
01/04/2000,109.2,5.3,3.1,7.4,3.8,6,98.16684211,5.978578947
01/05/2000,110.7,4.7,3.2,6.5,4,6.5,95.80727273,6.427227273
01/06/2000,106.4,5,3.7,7,4,6.5,98.14227273,6.083772727
01/07/2000,108.3,4.2,3.7,5.9,4,6.5,98.615,6.0396
01/08/2000,107.3,3.4,3.4,4.9,4.1,6.5,99.70869565,5.820391304
01/09/2000,106.8,4.3,3.5,6.2,3.9,6.5,100.0895,5.78805
01/10/2000,105.8,2.6,3.4,5.8,3.9,6.5,100.852381,5.735
01/11/2000,107.6,2.1,3.4,4.2,3.9,6.5,101.207619,5.702333333
01/12/2000,98.4,1.1,3.4,2.2,3.9,6.5,104.055,5.22845
01/01/2001,94.7,0.4,3.7,4,4.2,5.5,105.0471429,5.139619048
01/02/2001,90.6,-0.5,3.5,2.5,4.2,5.5,105.2173684,5.088736842
01/03/2001,91.5,-1.1,2.9,0.5,4.3,5,106.4045455,4.876681818
01/04/2001,88.4,-2.1,3.3,3.6,4.4,4.5,105.026,5.12225
01/05/2001,92,-2.9,3.6,3.7,4.3,4,103.7354545,5.368045455
01/06/2001,92.6,-3.6,3.2,2.5,4.5,3.75,104.5271429,5.254
01/07/2001,92.4,-4,2.7,2.5,4.6,3.75,104.677619,5.199761905
01/08/2001,91.5,-3.9,2.7,3.1,4.9,3.5,106.3278261,4.961
01/09/2001,81.8,-4.6,2.6,-0.5,5,3,108.1761111,4.734533333
01/10/2001,82.7,-4.8,2.1,6.4,5.3,2.5,109.3909091,4.54073913
01/11/2001,83.9,-5.3,1.9,4,5.5,2,108.894,4.606190476
01/12/2001,88.8,-5,1.6,2.9,5.7,1.75,105.736,5.0477
01/01/2002,93,-3.8,1.1,1.7,5.7,1.75,105.867619,4.991619048
01/02/2002,90.7,-3.2,1.1,2.2,5.7,1.75,106.8557895,4.903263158
01/03/2002,95.7,-2.1,1.5,2.8,5.7,1.75,104.1095,5.2729
01/04/2002,93,-1.5,1.6,2.9,5.9,1.75,104.4531818,5.193863636
01/05/2002,96.9,-0.4,1.2,1.2,5.8,1.75,105.6004545,5.140818182
01/06/2002,92.4,1.1,1.1,2.5,5.8,1.75,107.4915,4.89495
01/07/2002,88.1,1.5,1.5,3.9,5.8,1.75,109.0990909,4.607909091
01/08/2002,87.6,1.7,1.8,4,5.7,1.75,112.3386364,4.240363636
01/09/2002,86.1,2.2,1.5,4.5,5.7,1.75,114.84,3.85645
01/10/2002,80.6,2.3,2,-1.7,5.7,1.75,114.1134783,3.914521739
01/11/2002,84.2,3.4,2.2,1.6,5.9,1.25,113.7745,4.03065
01/12/2002,86.7,2.8,2.4,3.6,6,1.25,113.9471429,4.020190476
01/01/2003,82.4,2.9,2.6,4.1,5.8,1.25,113.6604762,4.024047619
01/02/2003,79.9,3.2,3,2.1,5.9,1.25,115.1015789,3.889631579
01/03/2003,77.6,2.1,3,4.3,5.9,1.25,115.6933333,3.795428571
01/04/2003,86,1,2.2,2.4,6,1.25,114.317619,3.938380952
01/05/2003,92.1,0.5,2.1,4,6.1,1.25,117.4180952,3.558380952
01/06/2003,89.7,-0.3,2.1,4.3,6.3,1,119.142381,3.323571429
01/07/2003,90.9,0.4,2.1,4.3,6.2,1,114.6504545,3.951863636
01/08/2003,89.3,0.2,2.2,5.2,6.1,1,111.3504762,4.43247619
01/09/2003,87.7,0.7,2.3,6.1,6.1,1,113.0266667,4.261952381
01/10/2003,89.6,1.1,2,5.2,6,1,112.3086957,4.264521739
01/11/2003,93.7,1.4,1.8,5.9,5.8,1,112.5489474,4.294368421
01/12/2003,92.6,1.9,1.9,4.6,5.7,1,112.8981818,4.259090909
01/01/2004,103.8,1.5,2,4.7,5.7,1,113.483,4.1293
01/02/2004,94.4,1.8,1.7,7,5.6,1,114.4494737,4.068578947
01/03/2004,95.8,1.5,1.7,6.9,5.8,1,116.3413043,3.814391304
01/04/2004,94.2,2.7,2.3,6.1,5.6,1,111.6752381,4.327619048
01/05/2004,90.2,3.5,3.1,7.6,5.6,1,109.3035,4.70285
01/06/2004,95.6,2.5,3.3,5.1,5.6,1.25,109.1781818,4.723
01/07/2004,96.7,2.8,2.9,5.2,5.5,1.25,110.4504762,4.478809524
01/08/2004,95.9,3.1,2.7,3.6,5.4,1.5,112.3786364,4.269272727
01/09/2004,94.2,2.6,2.5,6.1,5.4,1.75,113.4190476,4.114714286
01/10/2004,91.7,3.4,3.2,7.2,5.5,1.75,113.0133333,4.082809524
01/11/2004,92.8,2.8,3.5,6.3,5.4,2,112.3847619,4.188142857
01/12/2004,97.1,3.6,3.3,8,5.4,2.25,112.2431818,4.221818182
01/01/2005,95.5,3.8,3,6.4,5.3,2.25,111.8345,4.2084
01/02/2005,94.1,3.9,3,6.9,5.4,2.5,112.1510526,4.157105263
01/03/2005,92.6,4.3,3.1,5.2,5.2,2.75,109.7372727,4.490454545
01/04/2005,87.7,3.9,3.5,7.5,5.2,2.75,110.5014286,4.330047619
01/05/2005,86.9,3.3,2.8,4.9,5.1,3,111.9842857,4.137380952
01/06/2005,96,4.6,2.5,9.2,5,3.25,113.0127273,3.993909091
01/07/2005,96.5,3.4,3.2,8.8,5,3.25,111.7575,4.17235
01/08/2005,89.1,3.6,3.6,7.6,4.9,3.25,111.173913,4.255173913
01/09/2005,76.9,1.6,4.7,5.9,5,3.75,111.6547619,4.193142857
01/10/2005,74.2,1.9,4.3,5.4,5,3.75,109.107,4.4576
01/11/2005,81.6,2.7,3.5,5.9,5,4,108.5405,4.53395
01/12/2005,91.5,2.6,3.4,4.7,4.9,4.25,109.02,4.464952381
01/01/2006,91.2,2.3,4,8.6,4.7,4.5,109.3235,4.4106
01/02/2006,86.7,1.6,3.6,6.5,4.8,4.5,107.9763158,4.567842105
01/03/2006,88.9,2,3.4,6.8,4.7,4.75,107.1452174,4.722304348
01/04/2006,87.4,2.3,3.5,6.1,4.7,4.75,105.7878947,4.985368421
01/05/2006,79.1,1.9,4.2,6.6,4.6,5,105.2577273,5.106909091
01/06/2006,84.9,1.9,4.3,4,4.6,5.25,105.0963636,5.103272727
01/07/2006,84.7,2.2,4.1,3.6,4.7,5.25,105.258,5.08245
01/08/2006,82,2.3,3.8,5.1,4.7,5.25,106.6113043,4.873652174
